epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,1176.53,0.52974,0.41368,0.37869,1.09691,0.99568,0.94096,0.96825,0.94329,0.99424,0.9396,0.96696,0.94785,0.20055,0.4734,0.24537,0.86279,0.008515,0.008515,0.008515
47,1201.64,0.52088,0.41512,0.36377,1.09047,0.99625,0.94014,0.95796,0.93686,0.99481,0.93878,0.95614,0.93929,0.19783,0.47035,0.33642,0.84527,0.008482,0.008482,0.008482
48,1227.13,0.51381,0.41412,0.3623,1.08983,0.99553,0.9415,0.95944,0.93694,0.99409,0.94014,0.95787,0.9381,0.21423,0.46866,0.33436,0.86264,0.008449,0.008449,0.008449
49,1251.95,0.52599,0.41689,0.37152,1.09284,0.9914,0.94128,0.96359,0.94141,0.98166,0.94673,0.96419,0.94234,0.19881,0.4886,0.32073,0.85528,0.008416,0.008416,0.008416
50,1276.82,0.52998,0.43063,0.37471,1.09567,0.99007,0.94985,0.96834,0.94497,0.98865,0.94849,0.96726,0.94743,0.22258,0.43918,0.33083,0.85038,0.008383,0.008383,0.008383
51,1301.73,0.51078,0.4071,0.3633,1.08338,0.99531,0.9415,0.95751,0.93879,0.99387,0.94014,0.95738,0.94092,0.19313,0.54313,0.31883,0.84612,0.00835,0.00835,0.00835
52,1327.87,0.52622,0.38255,0.35907,1.08975,0.9857,0.94286,0.95693,0.93602,0.98428,0.9415,0.95711,0.9411,0.20001,0.44516,0.34616,0.85173,0.008317,0.008317,0.008317
53,1354.17,0.51416,0.40935,0.35987,1.0897,0.99018,0.93741,0.95242,0.93499,0.98995,0.93833,0.95211,0.93641,0.19339,0.43545,0.39111,0.85922,0.008284,0.008284,0.008284
54,1380.34,0.51419,0.40883,0.36446,1.08207,0.9914,0.94072,0.95521,0.93613,0.98996,0.93936,0.95464,0.93675,0.19925,0.4845,0.37384,0.85934,0.008251,0.008251,0.008251
55,1406.35,0.51545,0.43144,0.36643,1.07919,0.96757,0.93358,0.96126,0.94233,0.96757,0.93358,0.95968,0.94401,0.18689,0.4426,0.3153,0.85385,0.008218,0.008218,0.008218
56,1431.43,0.50744,0.40104,0.3503,1.08291,0.99141,0.94164,0.97479,0.94951,0.98997,0.94028,0.97413,0.95414,0.17961,0.47962,0.22031,0.84071,0.008185,0.008185,0.008185
57,1456.54,0.51774,0.41293,0.3684,1.08598,0.98715,0.9407,0.95969,0.94032,0.98572,0.93934,0.95881,0.94283,0.18146,0.46551,0.31637,0.84069,0.008152,0.008152,0.008152
58,1481.58,0.51437,0.39621,0.35573,1.088,0.98942,0.94694,0.97032,0.94513,0.98799,0.94558,0.96815,0.94935,0.20129,0.46368,0.24698,0.85771,0.008119,0.008119,0.008119
59,1506.64,0.50868,0.39899,0.36032,1.07602,0.99283,0.94137,0.97342,0.94819,0.99283,0.94137,0.97327,0.95048,0.19886,0.49813,0.25038,0.84136,0.008086,0.008086,0.008086
