epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,1075.7,0.5417,0.43171,0.37993,1.09017,0.98491,0.9483,0.96902,0.94459,0.98491,0.9483,0.9679,0.9478,0.21477,0.51196,0.31197,0.86427,0.008713,0.008713,0.008713
41,1102.23,0.53961,0.42627,0.37598,1.07832,0.98969,0.9483,0.97189,0.94025,0.98827,0.94694,0.97077,0.94307,0.24246,0.56168,0.29852,0.88483,0.00868,0.00868,0.00868
42,1128.92,0.51485,0.39366,0.36489,1.06612,0.99252,0.94422,0.97033,0.94386,0.99252,0.94422,0.96992,0.94912,0.23263,0.5053,0.27861,0.88036,0.008647,0.008647,0.008647
43,1155.49,0.53197,0.42897,0.36933,1.07911,0.99642,0.93469,0.97017,0.94215,0.98213,0.9483,0.96949,0.94914,0.2019,0.46049,0.2533,0.86834,0.008614,0.008614,0.008614
44,1182.34,0.53711,0.41887,0.37512,1.07891,0.99142,0.94375,0.97396,0.93932,0.98862,0.9455,0.97082,0.93792,0.2302,0.53461,0.27714,0.89874,0.008581,0.008581,0.008581
45,1209.63,0.52937,0.43729,0.37032,1.07662,0.99425,0.9411,0.96781,0.9441,0.99425,0.9411,0.96902,0.94528,0.21218,0.50822,0.29093,0.86487,0.008548,0.008548,0.008548
46,1237.05,0.53017,0.42892,0.37082,1.06921,0.99056,0.94014,0.96756,0.94542,0.99056,0.94014,0.96822,0.94657,0.21607,0.49503,0.31836,0.86382,0.008515,0.008515,0.008515
47,1264.24,0.52417,0.39673,0.36032,1.06498,0.99648,0.93741,0.96558,0.93737,0.99503,0.93605,0.96386,0.94314,0.23128,0.50034,0.29977,0.88349,0.008482,0.008482,0.008482
48,1291.76,0.52689,0.4337,0.36776,1.06663,0.99283,0.9421,0.9634,0.94251,0.9914,0.94073,0.96179,0.9433,0.1897,0.52775,0.39314,0.86042,0.008449,0.008449,0.008449
49,1318.93,0.5197,0.41066,0.36127,1.06677,0.98844,0.93878,0.9596,0.93664,0.98844,0.93878,0.9582,0.93408,0.23048,0.55655,0.32043,0.86617,0.008416,0.008416,0.008416
