epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,1465.56,0.50892,0.39913,0.35521,1.09716,0.98727,0.94947,0.96743,0.94402,0.98585,0.94811,0.96673,0.94616,0.19591,0.51373,0.28514,0.85528,0.008119,0.008119,0.008119
59,1490.61,0.51269,0.39095,0.35374,1.1022,0.99567,0.94014,0.96683,0.94275,0.99143,0.94383,0.96662,0.94539,0.19757,0.49414,0.28898,0.86293,0.008086,0.008086,0.008086
60,1515.56,0.50797,0.3836,0.34646,1.10225,0.99511,0.94286,0.96325,0.94178,0.99368,0.9415,0.96082,0.94491,0.2129,0.4904,0.26334,0.87181,0.008053,0.008053,0.008053
61,1540.61,0.49486,0.38035,0.3421,1.09083,0.99595,0.94422,0.97462,0.95245,0.99451,0.94286,0.97369,0.95479,0.18258,0.50641,0.24691,0.83993,0.00802,0.00802,0.00802
62,1566.18,0.4903,0.38446,0.33383,1.0931,0.99353,0.94014,0.95882,0.93961,0.99209,0.93878,0.95711,0.93813,0.19939,0.52635,0.31223,0.85809,0.007987,0.007987,0.007987
63,1591.41,0.49318,0.39978,0.34528,1.09538,0.99708,0.93042,0.95304,0.93402,0.99708,0.93042,0.9527,0.93602,0.21122,0.50902,0.34596,0.87012,0.007954,0.007954,0.007954
64,1616.42,0.5011,0.37365,0.34572,1.10234,0.99531,0.9483,0.96748,0.94513,0.99389,0.94694,0.96474,0.9485,0.20172,0.53202,0.32492,0.86779,0.007921,0.007921,0.007921
65,1641.42,0.50699,0.39896,0.35356,1.10383,0.99555,0.9415,0.96038,0.94155,0.99555,0.9415,0.96034,0.94541,0.18992,0.55126,0.38689,0.85695,0.007888,0.007888,0.007888
66,1666.47,0.5021,0.37938,0.34582,1.09841,0.99283,0.9415,0.95672,0.93832,0.99139,0.94013,0.95507,0.9389,0.18345,0.55954,0.38001,0.84785,0.007855,0.007855,0.007855
67,1691.77,0.50948,0.39403,0.34344,1.10226,0.99424,0.94422,0.96332,0.94248,0.9928,0.94286,0.96039,0.94498,0.17841,0.55374,0.26895,0.85031,0.007822,0.007822,0.007822
68,1716.7,0.4967,0.38746,0.34118,1.08915,0.98718,0.94272,0.96267,0.94282,0.98574,0.9415,0.96227,0.9455,0.18038,0.55135,0.28455,0.84853,0.007789,0.007789,0.007789
69,1741.54,0.49546,0.37358,0.33289,1.08904,0.99379,0.93741,0.95983,0.94175,0.99235,0.93605,0.95799,0.94323,0.20458,0.52947,0.33178,0.85395,0.007756,0.007756,0.007756
70,1766.4,0.49286,0.37572,0.34012,1.09599,0.9947,0.94422,0.95984,0.93999,0.9947,0.94422,0.96352,0.94395,0.19133,0.47847,0.34292,0.84668,0.007723,0.007723,0.007723
71,1791.33,0.50184,0.38987,0.3375,1.10021,0.99278,0.94694,0.95962,0.93946,0.99427,0.94419,0.95754,0.94295,0.18724,0.53648,0.29488,0.8513,0.00769,0.00769,0.00769
72,1816.19,0.48828,0.39282,0.33251,1.08555,0.99856,0.94106,0.95265,0.93542,0.99567,0.93834,0.95093,0.93084,0.19481,0.53342,0.40366,0.86269,0.007657,0.007657,0.007657
73,1841.31,0.48881,0.38163,0.33436,1.08517,0.98994,0.9371,0.95728,0.93715,0.9885,0.93574,0.95653,0.93796,0.19446,0.53919,0.42459,0.85689,0.007624,0.007624,0.007624
74,1866.35,0.48905,0.36747,0.32967,1.09493,0.99284,0.94344,0.95693,0.94032,0.99141,0.9421,0.95592,0.94433,0.18084,0.51245,0.30452,0.85111,0.007591,0.007591,0.007591
75,1891.33,0.49077,0.38694,0.3351,1.08869,0.99426,0.9427,0.96506,0.94505,0.99283,0.94134,0.96236,0.94852,0.19923,0.51077,0.35751,0.85405,0.007558,0.007558,0.007558
76,1916.29,0.49483,0.36923,0.34194,1.08858,0.99284,0.94386,0.96706,0.94497,0.99081,0.94694,0.96866,0.94694,0.18722,0.50853,0.27484,0.84455,0.007525,0.007525,0.007525
77,1941.28,0.48154,0.37503,0.32646,1.08447,0.99118,0.94966,0.96782,0.95134,0.99118,0.94966,0.96693,0.95089,0.17441,0.53112,0.25115,0.84389,0.007492,0.007492,0.007492
78,1966.3,0.48581,0.38079,0.32558,1.083,0.98453,0.95276,0.9799,0.95634,0.98453,0.95276,0.97771,0.95747,0.18883,0.49348,0.21359,0.85233,0.007459,0.007459,0.007459
79,1991.41,0.48834,0.38303,0.33781,1.08468,0.9976,0.9415,0.96836,0.94705,0.99568,0.94115,0.96359,0.94794,0.18686,0.5294,0.23752,0.84449,0.007426,0.007426,0.007426
